study,outcome.name,outcome_page_varies_by_condition,outcome_text,scale_min,scale_max,scale_labels,outcome_page_full
Terman1029,naitonalist superiority,False,"Please read the following statements and indicate your level of agreement or disagreement: 
The world would be a better place if other countries were more like the United States.",1,5,1=Strongly Disagree; 5=Strongly Agree,"Please read the following statements and indicate your level of agreement or disagreement: 
The world would be a better place if other countries were more like the United States.
Please choose a number from 1 (Strongly Disagree) to 5 (Strongly Agree)"
Terman1029,perception of domestic human rights conditions,False,"Please read the following statements and indicate your level of agreement or disagreement:
The United States government needs to take concrete steps to reform the criminal justice system to ensure detainees’ human rights are protected.",1,5,1=Strongly Disagree; 5=Strongly Agree,"Please read the following statements and indicate your level of agreement or disagreement:
The United States government needs to take concrete steps to reform the criminal justice system to ensure detainees’ human rights are protected.
Please choose a number from 1 (Strongly Disagree) to 5 (Strongly Agree)"
ThorsonS42,Facebook,False,"How much do you trust news from the following sources?

Facebook",1,5,1=1 - Not at all; 5=5 - A great deal,"How much do you trust news from the following sources?

Facebook
Please choose a number from 1 (1 - Not at all) to 5 (5 - A great deal)"
ThorsonS42,Local Newspapers,False,"How much do you trust news from the following sources?

Local newspapers",1,5,1=1 - Not at all; 5=5 - A great deal,"How much do you trust news from the following sources?

Local newspapers
Please choose a number from 1 (1 - Not at all) to 5 (5 - A great deal)"
ThorsonS42,National newspapers,False,"How much do you trust news from the following sources?

National newspapers",1,5,1=1 - Not at all; 5=5 - A great deal,"How much do you trust news from the following sources?

National newspapers
Please choose a number from 1 (1 - Not at all) to 5 (5 - A great deal)"
WallaceS9,credibility,False,How likely do you think other countries would believe threats and promises made by the president in the future?,1,7,1=Very unlikely; 7=Very likely,"How likely do you think other countries would believe threats and promises made by the president in the future?
Please choose a number from 1 (Very unlikely) to 7 (Very likely)"
WallaceS9,president_approval,False,"Do you approve, disapprove, or neither approve nor disapprove of the way the U.S. president handled the situation?",1,7,1=Strongly disapprove; 7=Strongly approve,"Do you approve, disapprove, or neither approve nor disapprove of the way the U.S. president handled the situation?
Please choose a number from 1 (Strongly disapprove) to 7 (Strongly approve)"
Williamson859,Food stamps,False,"Should federal spending on the following be increased, decreased, or kept about the same?
Food stamps",1,3,1=Kept about the same; 3=Increased,"Should federal spending on the following be increased, decreased, or kept about the same?
Food stamps
Please choose a number from 1 (Kept about the same) to 3 (Increased)"
Williamson859,Military,False,"Should federal spending on the following be increased, decreased, or kept about the same?
Military",1,3,1=Kept about the same; 3=Increased,"Should federal spending on the following be increased, decreased, or kept about the same?
Military
Please choose a number from 1 (Kept about the same) to 3 (Increased)"
Williamson859,Social Security,False,"Should federal spending on the following be increased, decreased, or kept about the same?
Social Security",1,3,1=Kept about the same; 3=Increased,"Should federal spending on the following be increased, decreased, or kept about the same?
Social Security
Please choose a number from 1 (Kept about the same) to 3 (Increased)"
berganS20,support,False,"Please indicate to what extent you agree with the following statements about the Independent Payment Advisory Board, the proposed commission that would limit federal spending on health care by paying only for procedures that have demonstrated medical value. 
I support establishing the Independent Payment Advisory Board",1,7,1=Disagree strongly; 7=Agree strongly,"Please indicate to what extent you agree with the following statements about the Independent Payment Advisory Board, the proposed commission that would limit federal spending on health care by paying only for procedures that have demonstrated medical value. 
I support establishing the Independent Payment Advisory Board
Please choose a number from 1 (Disagree strongly) to 7 (Agree strongly)"
bolsenM6,Providing Personal Pronouns,False,How unwilling or willing are you to state your own pronouns to people you meet for the first time?,1,7,1=Extremely unwilling; 7=Extremely willing,"How unwilling or willing are you to state your own pronouns to people you meet for the first time?
Please choose a number from 1 (Extremely unwilling) to 7 (Extremely willing)"
bolsenM6,They/Them Pronouns in Forms,False,"To what extent do you disagree or agree with the following statement: “When a form or online profile asks about a person's gender, it should include they/them options for transgender or gender non-conforming individuals”?",1,7,1=Strongly disagree; 7=Strongly agree,"To what extent do you disagree or agree with the following statement: “When a form or online profile asks about a person's gender, it should include they/them options for transgender or gender non-conforming individuals”?
Please choose a number from 1 (Strongly disagree) to 7 (Strongly agree)"
bolsenM6,Using They/Them Pronouns,False,How uncomfortable or comfortable would you feel using they/them pronouns to refer to transgender or gender non-conforming persons?,1,7,1=Extremely uncomfortable; 7=Extremely comfortable,"How uncomfortable or comfortable would you feel using they/them pronouns to refer to transgender or gender non-conforming persons?
Please choose a number from 1 (Extremely uncomfortable) to 7 (Extremely comfortable)"
brandtS1,coppock_dv_name,False,How much control did these people have over getting into their current financial situation?,1,7,1=No control; 7=Complete control,"How much control did these people have over getting into their current financial situation?
Please choose a number from 1 (No control) to 7 (Complete control)"
bucci1408,Caught,False,What is the percent chance (or chances out of 100) that you would get caught by the police if you drove home?,0,100,0=0%; 100=100%,"What is the percent chance (or chances out of 100) that you would get caught by the police if you drove home?
Please choose a number from 0 (0%) to 100 (100%)"
bucci1408,Respect,False,How likely is it that you would lose respect from your family and friends if they found out that you drove home?,1,5,1=Extremely unlikely; 5=Extremely likely,"How likely is it that you would lose respect from your family and friends if they found out that you drove home?
Please choose a number from 1 (Extremely unlikely) to 5 (Extremely likely)"
bucci1408,Rewarding,False,"How rewarding on a scale of 0-100, with 100 being the most rewarding, would it be if you drove home?",0,100,0=least rewarding; 100=most rewarding,"How rewarding on a scale of 0-100, with 100 being the most rewarding, would it be if you drove home?
Please choose a number from 0 (least rewarding) to 100 (most rewarding)"
caprarielloS2,coppock_dv_name,False,Think about when you engaged in your activity. How happy does it make you right now?,1,5,1=Neutral (or slightly unhappy); 5=Exceptionally happy,"Think about when you engaged in your activity. How happy does it make you right now?
Please choose a number from 1 (Neutral (or slightly unhappy)) to 5 (Exceptionally happy)"
converseS16,coppock_dv_name,False,Please indicate your personal opinion about abortion.,1,7,1=Completely pro-choice; 7=Completely pro-life,"Please indicate your personal opinion about abortion.
Please choose a number from 1 (Completely pro-choice) to 7 (Completely pro-life)"
death_penalty,Favor Death Penalty,False,Do you favor or oppose the death penalty for persons convicted of murder?,1,4,1=Strongly Oppose; 4=Strongly Favor,"Do you favor or oppose the death penalty for persons convicted of murder?
Please choose a number from 1 (Strongly Oppose) to 4 (Strongly Favor)"
dennyS17,hardworking,False,,1,5,1=Not at all hardworking; 5=Extremely hardworking,Please choose a number from 1 (Not at all hardworking) to 5 (Extremely hardworking)
flavinS4,coppock_dv_name,False,"How about you, do you strongly support, somewhat support, neither support nor oppose, somewhat oppose, or strongly oppose promoting political equality?",1,5,1=Strongly support; 5=Strongly oppose,"How about you, do you strongly support, somewhat support, neither support nor oppose, somewhat oppose, or strongly oppose promoting political equality?
Please choose a number from 1 (Strongly support) to 5 (Strongly oppose)"
gashS5,coppock_dv_name,False,,1,4,1=Strongly agree; 4=Strongly disagree,Please choose a number from 1 (Strongly agree) to 4 (Strongly disagree)
immigration,Support for Immigration,False,"Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased a lot, increased a little, left the same as it is now, decreased a little, or decreased a lot?",1,5,1=Decreased a lot; 5=Increased a lot,"Do you think the number of immigrants from foreign countries who are permitted to come to the United States to live should be increased a lot, increased a little, left the same as it is now, decreased a little, or decreased a lot?
Please choose a number from 1 (Decreased a lot) to 5 (Increased a lot)"
jacobsenS7,coppock_dv_name,False,"Satisfaction means many things. Overall, how SATISFIED are you with Oak School based on these data?",1,7,1=Very dissatisfied; 7=Very satisfied,"Satisfaction means many things. Overall, how SATISFIED are you with Oak School based on these data?
Please choose a number from 1 (Very dissatisfied) to 7 (Very satisfied)"
melloS6,coppock_dv_name,False,How likely would you be to seek legal advice about suing Dr. S?,1,4,1=Very unlikely; 4=Very likely,"How likely would you be to seek legal advice about suing Dr. S?
Please choose a number from 1 (Very unlikely) to 4 (Very likely)"
parmerS15,coppock_dv_name,False,"The smallpox outbreak scenario you just read is fictional.  However, it is important that you consider what your actual responses and behavior would be in such a scenario. For the following items, please base your responses according to the scenario you just read.

If you had to make a decision now, would you get the recommended smallpox vaccine?",0,1,0=No; 1=Yes,"The smallpox outbreak scenario you just read is fictional.  However, it is important that you consider what your actual responses and behavior would be in such a scenario. For the following items, please base your responses according to the scenario you just read.

If you had to make a decision now, would you get the recommended smallpox vaccine?
Please choose a number from 0 (No) to 1 (Yes)"
patriot_act,Patriot Act Support,False,Do you oppose or support the Patriot Act?,1,7,1=Oppose very strongly; 7=Support very strongly,"Do you oppose or support the Patriot Act?
Please choose a number from 1 (Oppose very strongly) to 7 (Support very strongly)"
pedullaS18,hiring recommendation,False,Would you recommend hiring this applicant for the position?,0,1,0=no; 1=yes,"Would you recommend hiring this applicant for the position?
Please choose a number from 0 (no) to 1 (yes)"
piazzaS8,coppock_dv_name,False,"Please tell us if you would support or oppose each of these items as a method of getting information from a suspect in the case described earlier:
Applying electric shocks to the suspect.",1,5,1=strongly support; 5=strongly oppose,"Please tell us if you would support or oppose each of these items as a method of getting information from a suspect in the case described earlier:
Applying electric shocks to the suspect.
Please choose a number from 1 (strongly support) to 5 (strongly oppose)"
relihan1399,COVID-19,False,"How serious of a threat do you find each of the following?

SARS-CoV-2 (COVID-19)",0,4,0=Not at all; 4=A great deal,"How serious of a threat do you find each of the following?

SARS-CoV-2 (COVID-19)
Please choose a number from 0 (Not at all) to 4 (A great deal)"
relihan1399,Influenza,False,"How serious of a threat do you find each of the following?

Influenza (seasonal flu)",0,4,0=Not at all; 4=A great deal,"How serious of a threat do you find each of the following?

Influenza (seasonal flu)
Please choose a number from 0 (Not at all) to 4 (A great deal)"
relihan1399,Perinia Accetis superbacteria,False,"How serious of a threat do you find each of the following?

Perinia Accetis superbacteria",0,4,0=Not at all; 4=A great deal,"How serious of a threat do you find each of the following?

Perinia Accetis superbacteria
Please choose a number from 0 (Not at all) to 4 (A great deal)"
senS81,ideal_gender_male,False,"In your opinion, what would be the ideal composition of the U.S. House of Representatives in terms of gender? 
Percentages must add to 100.
A. Male",0,100,0=0%; 100=100%,"In your opinion, what would be the ideal composition of the U.S. House of Representatives in terms of gender? 
Percentages must add to 100.
A. Male
Please choose a number from 0 (0%) to 100 (100%)"
shaferS9,coppock_dv_name,False,Please rate how committed you think Carol is as an employee.,1,5,1=Extremely committed; 5=Not at all committed,"Please rate how committed you think Carol is as an employee.
Please choose a number from 1 (Extremely committed) to 5 (Not at all committed)"
system_threat,Way of Life,False,Please indicate how much you agree or disagree with the following statement: The American way of life is seriously threatened.,1,5,1=Strongly Disagree; 5=Strongly Agree,"Please indicate how much you agree or disagree with the following statement: The American way of life is seriously threatened.
Please choose a number from 1 (Strongly Disagree) to 5 (Strongly Agree)"
thompsonS10,coppock_dv_name,False,"To what extent do these statement describe your thoughts about terrorist attacks?
I am concerned about terrorist attacks.",1,7,1=Not at all; 7=Very much,"To what extent do these statement describe your thoughts about terrorist attacks?
I am concerned about terrorist attacks.
Please choose a number from 1 (Not at all) to 7 (Very much)"
turagaS11,coppock_dv_name,False,"Given this information and the information on the previous screen, how unwilling or willing are you to engage in the following activities?
Write a letter to your local newspaper supporting stronger mercury control policies.",1,5,1=Very unwilling; 5=Very willing,"Given this information and the information on the previous screen, how unwilling or willing are you to engage in the following activities?
Write a letter to your local newspaper supporting stronger mercury control policies.
Please choose a number from 1 (Very unwilling) to 5 (Very willing)"
wallaceS12,coppock_dv_name,False,The United States is currently thinking about signing an agreement with this country that would involve cooperation over military issues. Would you support or oppose the United States signing a military agreement with this country?,1,5,1=Strongly support; 5=Strongly oppose,"The United States is currently thinking about signing an agreement with this country that would involve cooperation over military issues. Would you support or oppose the United States signing a military agreement with this country?
Please choose a number from 1 (Strongly support) to 5 (Strongly oppose)"
wayne841,CandidateSupportBC,False,"Now we want you to think about the candidates running for president this year. How strongly do you support or oppose each of the following candidates? If you do not know any of these candidates,please say so.
Bernie Sanders",1,7,1=Strongly oppose; 7=Strongly support,"Now we want you to think about the candidates running for president this year. How strongly do you support or oppose each of the following candidates? If you do not know any of these candidates,please say so.
Bernie Sanders
Please choose a number from 1 (Strongly oppose) to 7 (Strongly support)"
wayne841,CandidateSupportDT,False,"Now we want you to think about the candidates running for president this year. How strongly do you support or oppose each of the following candidates? If you do not know any of these candidates, please say so.
Donald Trump",1,7,1=Strongly oppose; 7=Strongly support,"Now we want you to think about the candidates running for president this year. How strongly do you support or oppose each of the following candidates? If you do not know any of these candidates, please say so.
Donald Trump
Please choose a number from 1 (Strongly oppose) to 7 (Strongly support)"
wayne841,CandidateSupportHC,False,"Now we want you to think about the candidates running for president this year. How strongly do you support or oppose each of the following candidates? If you do not know any of these candidates, please say so.
Hillary Clinton",1,7,1=Strongly oppose; 7=Strongly support,"Now we want you to think about the candidates running for president this year. How strongly do you support or oppose each of the following candidates? If you do not know any of these candidates, please say so.
Hillary Clinton
Please choose a number from 1 (Strongly oppose) to 7 (Strongly support)"
